id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code
7059,09WA,heliport,"Holy Family Hospital Heliport",48,-117,2081,NA,US,US-WA,Spokane,no,09WA,,09WA
7060,09WI,small_airport,"Parkway Farm Strip",44,-91,705,NA,US,US-WI,Holmen,no,09WI,,09WI
7061,09XS,heliport,"Baptist Medical Center Heliport",29,-98,710,NA,US,US-TX,"San Antonio",no,09XS,,09XS
7062,09Y,seaplane_base,"Wipline Seaplane Base",45,-93,687,NA,US,US-MN,"Inver Grove Hgts",no,09Y,,09Y
7063,0AK,small_airport,"Pilot Station Airport",62,-163,305,NA,US,US-AK,"Pilot Station",yes,,PQS,0AK
7064,0AK0,small_airport,"Scotts Airport",64,-147,800,NA,US,US-AK,Salcha,no,0AK0,,0AK0
7065,0AK1,small_airport,"Anderson Lake Airport",62,-149,463,NA,US,US-AK,Wasilla,no,0AK1,,0AK1
7066,0AK3,small_airport,"Parker Lake Airport",62,-150,250,NA,US,US-AK,"Montana Creek",no,0AK3,,0AK3
7067,0AK5,small_airport,"Young Creek Airport",61,-143,1580,NA,US,US-AK,"May Creek",no,0AK5,,0AK5
7068,0AK6,small_airport,"Victory Airport",62,-148,1800,NA,US,US-AK,"Victory Bible Camp",no,0AK6,,0AK6
7069,0AK7,small_airport,"Bradley Lake Hydroelectric Project Airstrip",60,-151,18,NA,US,US-AK,Homer,no,0AK7,,0AK7
7070,0AK8,closed,"Pollux Heliport",65,-147,515,NA,US,US-AK,"North Pole",no,,,
7071,0AK9,small_airport,"Falcon Lake Strip",61,-150,110,NA,US,US-AK,"Point Mackenzie",no,0AK9,,0AK9
7072,0AL0,heliport,"Huntsville Field",35,-87,619,NA,US,US-AL,Huntsville,no,0AL0,,0AL0
7073,0AL1,small_airport,"Resort Airport",30,-88,97,NA,US,US-AL,Foley,no,0AL1,,0AL1
7074,0AL2,heliport,"Clay County Hospital Heliport",33,-86,1040,NA,US,US-AL,Ashland,no,0AL2,,0AL2
7075,0AL3,heliport,"Hospital Pad Heliport",31,-87,295,NA,US,US-AL,Evergreen,no,0AL3,,0AL3
7076,0AL4,heliport,"Dekalb Regional Medical Center Heliport",34,-86,870,NA,US,US-AL,"Fort Payne",no,0AL4,,0AL4
7077,0AL5,small_airport,"Flomaton Airport",31,-87,247,NA,US,US-AL,Flomaton,no,0AL5,,0AL5
